episode 238 of 1000 complete,  explore val = 0.01, episode reward = 40.0, ave reward = 54.2
episode 239 of 1000 complete,  explore val = 0.01, episode reward = 37.0, ave reward = 54.4
episode 240 of 1000 complete,  explore val = 0.01, episode reward = 58.0, ave reward = 54.4
episode 241 of 1000 complete,  explore val = 0.01, episode reward = 51.0, ave reward = 54.2
episode 242 of 1000 complete,  explore val = 0.01, episode reward = 39.0, ave reward = 54.4
episode 243 of 1000 complete,  explore val = 0.01, episode reward = 66.0, ave reward = 55.0
episode 244 of 1000 complete,  explore val = 0.01, episode reward = 82.0, ave reward = 55.6
episode 245 of 1000 complete,  explore val = 0.01, episode reward = 67.0, ave reward = 55.9
episode 246 of 1000 complete,  explore val = 0.01, episode reward = 25.0, ave reward = 55.7
episode 247 of 1000 complete,  explore val = 0.01, episode reward = 30.0, ave reward = 55.8
episode 248 of 1000 complete,  explore val = 0.01, episode reward = 23.0, ave reward = 55.4
episode 249 of 1000 complete,  explore val = 0.01, episode reward = 51.0, ave reward = 54.8
episode 250 of 1000 complete,  explore val = 0.01, episode reward = 40.0, ave reward = 54.7
episode 251 of 1000 complete,  explore val = 0.01, episode reward = 42.0, ave reward = 54.7
episode 252 of 1000 complete,  explore val = 0.01, episode reward = 221.0, ave reward = 56.6
episode 253 of 1000 complete,  explore val = 0.01, episode reward = 58.0, ave reward = 56.9
episode 254 of 1000 complete,  explore val = 0.01, episode reward = 230.0, ave reward = 59.0
episode 255 of 1000 complete,  explore val = 0.01, episode reward = 310.0, ave reward = 61.9
episode 256 of 1000 complete,  explore val = 0.01, episode reward = 52.0, ave reward = 61.1
episode 257 of 1000 complete,  explore val = 0.01, episode reward = 59.0, ave reward = 61.5
episode 258 of 1000 complete,  explore val = 0.01, episode reward = 51.0, ave reward = 61.2
episode 259 of 1000 complete,  explore val = 0.01, episode reward = 72.0, ave reward = 61.6
episode 260 of 1000 complete,  explore val = 0.01, episode reward = 85.0, ave reward = 62.0
episode 261 of 1000 complete,  explore val = 0.01, episode reward = 109.0, ave reward = 62.7
episode 262 of 1000 complete,  explore val = 0.01, episode reward = 51.0, ave reward = 62.9
episode 263 of 1000 complete,  explore val = 0.01, episode reward = 50.0, ave reward = 63.1
episode 264 of 1000 complete,  explore val = 0.01, episode reward = 54.0, ave reward = 63.3
episode 265 of 1000 complete,  explore val = 0.01, episode reward = 64.0, ave reward = 63.5
episode 266 of 1000 complete,  explore val = 0.01, episode reward = 52.0, ave reward = 62.4
episode 267 of 1000 complete,  explore val = 0.01, episode reward = 34.0, ave reward = 62.3
episode 268 of 1000 complete,  explore val = 0.01, episode reward = 93.0, ave reward = 63.0
episode 269 of 1000 complete,  explore val = 0.01, episode reward = 47.0, ave reward = 63.2
episode 270 of 1000 complete,  explore val = 0.01, episode reward = 82.0, ave reward = 63.6
episode 271 of 1000 complete,  explore val = 0.01, episode reward = 50.0, ave reward = 63.8
episode 272 of 1000 complete,  explore val = 0.01, episode reward = 89.0, ave reward = 63.4
episode 273 of 1000 complete,  explore val = 0.01, episode reward = 146.0, ave reward = 64.5
episode 274 of 1000 complete,  explore val = 0.01, episode reward = 70.0, ave reward = 64.4
episode 275 of 1000 complete,  explore val = 0.01, episode reward = 100.0, ave reward = 64.9
episode 276 of 1000 complete,  explore val = 0.01, episode reward = 53.0, ave reward = 65.0
episode 277 of 1000 complete,  explore val = 0.01, episode reward = 69.0, ave reward = 65.4
episode 278 of 1000 complete,  explore val = 0.01, episode reward = 55.0, ave reward = 65.8
episode 279 of 1000 complete,  explore val = 0.01, episode reward = 31.0, ave reward = 65.8
episode 280 of 1000 complete,  explore val = 0.01, episode reward = 57.0, ave reward = 66.2
episode 281 of 1000 complete,  explore val = 0.01, episode reward = 59.0, ave reward = 65.8
episode 282 of 1000 complete,  explore val = 0.01, episode reward = 72.0, ave reward = 66.0
episode 283 of 1000 complete,  explore val = 0.01, episode reward = 48.0, ave reward = 66.3
episode 284 of 1000 complete,  explore val = 0.01, episode reward = 43.0, ave reward = 66.6
episode 285 of 1000 complete,  explore val = 0.01, episode reward = 102.0, ave reward = 67.4
episode 286 of 1000 complete,  explore val = 0.01, episode reward = 62.0, ave reward = 67.4
